COMPANY,ADDRESS,ZIP,Lat,Lon,CITY,STATE,CONTACT,EMPLOYEES,SALES,SIC,CREDIT,FLEET
Advance Concrete Form Inc,5102 Pflaum Rd,53718,43.09,-89.28,Madison,WI,PRESIDENT,20 to 49,$20 - 50 MILLION,Construction Machinery & Equip (Mfrs),A+,1 to 10
Airgas,4802 Pflaum Rd,53718,43.09,-89.28,Madison,WI,MANAGER,10 to 19,$100 - 500 MILLION,Dry Ice,A,1 to 10
Airgas Store,4101 Robertson Rd,53714,43.1,-89.31,Madison,WI,MANAGER,10 to 19,$100 - 500 MILLION,Gases-Industrial & Medical (Mfrs),A+,20 to 49
Allen L W Inc,4633 Tompkins Dr,53716,43.07,-89.31,Madison,WI,PRESIDENT,20 to 49,$20 - 50 MILLION,Industrial Measuring/Controlling Instr (Mfrs),A+,50+
Alpha Omega LLC,2910 Latham Dr,53713,43.04,-89.39,Madison,WI,FINANCE EXEC,100 to 249,$50 - 100 MILLION,Meat Products (Mfrs),A+,11 to 19
Audi Madison,2400 Rimrock Rd,53713,43.04,-89.39,Madison,WI,DIRECTOR,50 to 99,$20 - 50 MILLION,Automobile Dealers-New Cars,A,1 to 10
Bagels Forever Inc,PO Box 5547,53705,43.07,-89.46,Madison,WI,CEO,50 to 99,$50 - 100 MILLION,Bagels,A,Unknown
Bell Laboratories Inc,PO Box 8421,53708,43.07,-89.38,Madison,WI,CEO,100 to 249,$50 - 100 MILLION,Adhesives & Sealants (Mfrs),A+,20 to 49
Bergstrom Cadillac Of Madison,1200 Applegate Rd,53713,43.04,-89.39,Madison,WI,SITE MANAGER,50 to 99,$20 - 50 MILLION,Automobile Dealers-New Cars,A+,1 to 10
Bergstrom Chevrolet Of Madison,1345 Applegate Rd,53713,43.04,-89.39,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Automobile Dealers-New Cars,A,1 to 10
Best Buy,2452 East Springs Dr # 100,53704,43.14,-89.35,Madison,WI,DIRECTOR,50 to 99,$20 - 50 MILLION,Electronic Equipment & Supplies-Retail,A,20 to 49
Best Buy,7357 W Towne Way # 100,53719,43.05,-89.52,Madison,WI,SITE MANAGER,100 to 249,$20 - 50 MILLION,Electronic Equipment & Supplies-Retail,A,11 to 19
BJ Electric Supply,805 Plaenert Dr,53713,43.04,-89.39,Madison,WI,PRESIDENT,50 to 99,$20 - 50 MILLION,Electric Heating Equipment-Manufacturers,A+,1 to 10
Blain's Farm-FLEET-Madison Wi,2202 S Stoughton Rd,53716,43.07,-89.31,Madison,WI,SITE MANAGER,100 to 249,$20 - 50 MILLION,Automobile Repair/Svc-Equip & Supls-Mfrs,A+,20 to 49
BMW Of Madison,320 W Beltline Hwy,53713,43.04,-89.39,Madison,WI,MANAGER,20 to 49,$20 - 50 MILLION,Automobile Dealers-New Cars,A+,1 to 10
Bou Matic LLC,PO Box 8050,53708,43.07,-89.38,Madison,WI,PRESIDENT,250 to 499,$20 - 50 MILLION,Dairy Equipment & Supplies-Manufacturers,A+,20 to 49
Brunsell Lumber & Millwork,4611 W Beltline Hwy,53711,43.01,-89.42,Madison,WI,OWNER,100 to 249,$20 - 50 MILLION,Lumber-Retail,A+,11 to 19
Capital Newspapers,PO Box 8056,53708,43.07,-89.38,Madison,WI,OWNER,1000 to 4999,$50 - 100 MILLION,News Dealers,A,50 to 99
Capitol Petroleum LLC,2570 Rimrock Rd,53713,43.04,-89.39,Madison,WI,MANAGER,5 to 9,$20 - 50 MILLION,Petroleum Products-Manufacturers,B+,1 to 10
Capitol Petroleum LLC,6702 Mineral Point Rd,53705,43.07,-89.46,Madison,WI,MANAGER,10 to 19,$20 - 50 MILLION,Petroleum Products-Manufacturers,B+,1 to 10
Cardinal Health,153 E Badger Rd,53713,43.04,-89.39,Madison,WI,DIRECTOR,10 to 19,$20 - 50 MILLION,Pharmacies,A,1 to 10
